step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.02985536841012043,baseline,,,,,,,
-4,nan,,1.2650353685172981,nan,nan,0.5473313840100822,0.27544818299237483,8.810682161054519,0.2714625411497439,9.576914211114247e-05,ensemble_final,nan,nan,nan,nan,0.552482674942504,0.2615074290269238,nan
-5,nan,,0.7269113973517412,nan,nan,0.5176084098751831,0.1677367147797986,8.503377677824542,0.10867047997976727,-0.00038015035291512805,ensemble_fcfw,nan,nan,nan,nan,0.5144837013328735,0.16403319898335758,nan
0,True,1.0,,,,,,,,0.02985536841012043,ensemble_step,,,,0.02985536841012043,,,
1,True,0.375,,,,,,,,0.02232133315369758,ensemble_step,,,,0.02232133315369758,,,
2,True,0.25,,,,,,,,0.01501779874982618,ensemble_step,,,,0.01501779874982618,,,
3,True,0.1875,,,,,,,,0.00811627900855798,ensemble_step,,,,0.00811627900855798,,,
4,True,0.15000000000000002,,,,,,,,0.0029457218199027365,ensemble_step,,,,0.0029457218199027365,,,
5,True,0.12499999999999997,,,,,,,,0.0022197095013443565,ensemble_step,,,,0.0022197095013443565,,,
6,True,0.10714285714285715,,,,,,,,0.0016661987473657526,ensemble_step,,,,0.0016661987473657526,,,
7,True,0.09374999999999999,,,,,,,,0.0011723032055364114,ensemble_step,,,,0.0011723032055364114,,,
8,True,0.08333333333333334,,,,,,,,0.0006569708002912428,ensemble_step,,,,0.0006569708002912428,,,
9,True,0.075,,,,,,,,0.0005885854278374486,ensemble_step,,,,0.0005885854278374486,,,
