step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,4.755857060356625,nan,nan,0.804025907790785,0.7439545281125022,20.783064476649635,6.80114304237295,0.011338654672726989,baseline,nan,nan,nan,0.011418227895113913,0.9587912755796782,0.8814128655601302,nan
-4,nan,,1.7643483730828173,nan,nan,0.6414404410983262,0.40644747591783426,12.398458481202319,0.7696618271707699,0.0008790586143732071,ensemble_final,nan,nan,nan,nan,0.6864809442880289,0.4305510997405356,nan
-5,nan,,1.020468931901404,nan,nan,0.594563632946197,0.36710853832267804,11.118911348850125,0.8411518003093641,4.275701940059662e-05,ensemble_fcfw,nan,nan,nan,nan,0.6243540660929146,0.37496625277291773,nan
0,True,1.0,,,,,,,,0.010986267731723717,ensemble_step,,,,0.010986267731723717,,,
1,True,0.375,,,,,,,,0.009906776909717509,ensemble_step,,,,0.009906776909717509,,,
2,True,0.25,,,,,,,,0.009047299519152686,ensemble_step,,,,0.009047299519152686,,,
3,True,0.1875,,,,,,,,0.00769644772931434,ensemble_step,,,,0.00769644772931434,,,
4,True,0.15000000000000002,,,,,,,,0.006763104864257042,ensemble_step,,,,0.006763104864257042,,,
5,True,0.12499999999999997,,,,,,,,0.005973401877308858,ensemble_step,,,,0.005973401877308858,,,
6,True,0.10714285714285715,,,,,,,,0.004850841802932314,ensemble_step,,,,0.004850841802932314,,,
7,True,0.09374999999999999,,,,,,,,0.003112052622166787,ensemble_step,,,,0.003112052622166787,,,
8,True,0.08333333333333334,,,,,,,,0.0019623981480524047,ensemble_step,,,,0.0019623981480524047,,,
9,True,0.075,,,,,,,,0.0009751260916485405,ensemble_step,,,,0.0009751260916485405,,,
