step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,4.6327734735900945,nan,nan,0.8063495490302433,0.7401921125303664,20.75062205040918,6.176424539589036,0.013777553879966339,baseline,nan,nan,nan,0.013492097806994539,0.9599041445432617,0.878016320815224,nan
-4,nan,,1.5511255550161087,nan,nan,0.6246733351901872,0.37502742241296294,11.190981887389036,0.631362952370712,0.0013597654178738594,ensemble_final,nan,nan,nan,nan,0.6662646770750874,0.3839484220918531,nan
-5,nan,,1.0124316519429861,nan,nan,0.5851853283582306,0.32841372697470766,11.134294633318634,0.6134877859466649,4.2683444917201996e-05,ensemble_fcfw,nan,nan,nan,nan,0.5986214491935687,0.3170844332068604,nan
0,True,1.0,,,,,,,,0.013956975586653002,ensemble_step,,,,0.013956975586653002,,,
1,True,0.375,,,,,,,,0.012479613035395758,ensemble_step,,,,0.012479613035395758,,,
2,True,0.25,,,,,,,,0.010399280792116722,ensemble_step,,,,0.010399280792116722,,,
3,True,0.1875,,,,,,,,0.00873855880843946,ensemble_step,,,,0.00873855880843946,,,
4,True,0.15000000000000002,,,,,,,,0.007202518245656105,ensemble_step,,,,0.007202518245656105,,,
5,True,0.12499999999999997,,,,,,,,0.005912375495785859,ensemble_step,,,,0.005912375495785859,,,
6,True,0.10714285714285715,,,,,,,,0.004462968659100675,ensemble_step,,,,0.004462968659100675,,,
7,True,0.09374999999999999,,,,,,,,0.002544297957323391,ensemble_step,,,,0.002544297957323391,,,
8,True,0.08333333333333334,,,,,,,,0.0016513695651480139,ensemble_step,,,,0.0016513695651480139,,,
9,True,0.075,,,,,,,,0.0014168412155047636,ensemble_step,,,,0.0014168412155047636,,,
