step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,3.053045943751892,nan,nan,0.6055518166926712,0.35362134110416776,10.163778396366796,0.599939656190615,0.004519477486610413,baseline,nan,nan,nan,0.00400402966057941,0.6037336771004661,0.39997583772902,nan
-4,nan,,6.6147481338527685,nan,nan,0.675870030994431,0.45832073489863745,11.045550843921422,0.9396800912999166,0.02505587413907051,ensemble_final,nan,nan,nan,nan,0.716277623708345,0.5166894118255174,nan
-5,nan,,3.049859536195283,nan,nan,0.6083374802700914,0.37202144018596317,9.90629844944377,0.6680027421101902,0.0046021416783332825,ensemble_fcfw,nan,nan,nan,nan,0.6293060881265358,0.42734295278002277,nan
0,True,1.0,,,,,,,,0.00421625437065333,ensemble_step,,,,0.00421625437065333,,,
1,False,0.125,,,,,,,,0.007897201713924142,ensemble_step,,,,0.007897201713924142,,,
2,False,0.08333333333333333,,,,,,,,0.011002956162993988,ensemble_step,,,,0.011002956162993988,,,
3,False,0.06250000000000001,,,,,,,,0.013535435562711098,ensemble_step,,,,0.013535435562711098,,,
4,False,0.05,,,,,,,,0.01565089159834314,ensemble_step,,,,0.01565089159834314,,,
5,False,0.04166666666666666,,,,,,,,0.017534739879910007,ensemble_step,,,,0.017534739879910007,,,
6,False,0.03571428571428572,,,,,,,,0.0191612007936737,ensemble_step,,,,0.0191612007936737,,,
7,False,0.03125,,,,,,,,0.020586827208059405,ensemble_step,,,,0.020586827208059405,,,
8,False,0.027777777777777776,,,,,,,,0.021045200038498038,ensemble_step,,,,0.021045200038498038,,,
9,False,0.025,,,,,,,,0.022157409809515784,ensemble_step,,,,0.022157409809515784,,,
