step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.13209775340679591,baseline,,,,,,,
-4,nan,,3.2663954422120107,nan,nan,0.46975748576576104,0.41323317704201984,4.705129344271544,1.1343625170169231,0.022266238927841187,ensemble_final,nan,nan,nan,nan,0.4315629514894688,0.3925635527686804,nan
-5,nan,,4.199339014622817,nan,nan,0.4927528202553027,0.44411425148545464,5.983008861476446,4.361281157131058,0.020943641662597656,ensemble_fcfw,nan,nan,nan,nan,0.4512636729773288,0.40432639698967715,nan
0,True,1.0,,,,,,,,0.13209775340679591,ensemble_step,,,,0.13209775340679591,,,
1,True,0.125,,,,,,,,0.06038636908736318,ensemble_step,,,,0.06038636908736318,,,
2,True,0.08333333333333333,,,,,,,,0.03188541692160622,ensemble_step,,,,0.03188541692160622,,,
3,True,0.06250000000000001,,,,,,,,0.024857014837389224,ensemble_step,,,,0.024857014837389224,,,
4,True,0.05,,,,,,,,0.017986061506561624,ensemble_step,,,,0.017986061506561624,,,
5,True,0.04166666666666666,,,,,,,,0.015809867879934325,ensemble_step,,,,0.015809867879934325,,,
6,False,0.03571428571428572,,,,,,,,0.019096019501254072,ensemble_step,,,,0.019096019501254072,,,
7,True,0.03125,,,,,,,,0.019025231188013914,ensemble_step,,,,0.019025231188013914,,,
8,False,0.027777777777777776,,,,,,,,0.019842043965454637,ensemble_step,,,,0.019842043965454637,,,
9,False,0.025,,,,,,,,0.021217104785697646,ensemble_step,,,,0.021217104785697646,,,
