step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,10.744602599022008,nan,nan,0.7171475562016522,0.6186740400062003,15.937220742754059,8.114017464109084,0.01973554491996765,baseline,nan,nan,nan,0.018748806979706586,0.8207055281890681,0.6950200287400722,nan
-4,nan,,1.3526767810684956,nan,nan,0.49423206778258993,0.22682424920592298,7.450900271546275,0.22078399599627713,9.245177110036214e-05,ensemble_final,nan,nan,nan,nan,0.4808921935944698,0.21634625412794767,nan
-5,nan,,1.0226850990059562,nan,nan,0.49131277649502053,0.2189731406579221,7.7376547137022715,0.2188885073199095,-0.00036444514989852905,ensemble_fcfw,nan,nan,nan,nan,0.47044852974235063,0.20536985926668075,nan
0,True,1.0,,,,,,,,0.01889315351165563,ensemble_step,,,,0.01889315351165563,,,
1,True,0.5,,,,,,,,0.0107337741442022,ensemble_step,,,,0.0107337741442022,,,
2,True,0.3333333333333333,,,,,,,,0.007856955307804179,ensemble_step,,,,0.007856955307804179,,,
3,True,0.25,,,,,,,,0.00654975662297215,ensemble_step,,,,0.00654975662297215,,,
4,True,0.2,,,,,,,,0.004776233169522555,ensemble_step,,,,0.004776233169522555,,,
5,True,0.16666666666666663,,,,,,,,0.0016495187821132598,ensemble_step,,,,0.0016495187821132598,,,
6,True,0.14285714285714288,,,,,,,,0.0010776739663743175,ensemble_step,,,,0.0010776739663743175,,,
7,True,0.125,,,,,,,,0.00023408376664757076,ensemble_step,,,,0.00023408376664757076,,,
8,False,0.11111111111111108,,,,,,,,0.000424965485475932,ensemble_step,,,,0.000424965485475932,,,
9,True,0.10000000000000003,,,,,,,,-1.936977736734756e-05,ensemble_step,,,,-1.936977736734756e-05,,,
