step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,-0.00015311709792658647,baseline,,,,,,,
-4,nan,,8.548159304617954,nan,nan,0.750292315483882,0.6114821369572303,13.756726768679908,1.628605520578804,0.04212145507335663,ensemble_final,nan,nan,nan,nan,0.8818252320582095,0.7468094328120126,nan
-5,nan,,0.560755881917485,nan,nan,0.5098394838802273,0.2541144757333552,8.569284244463034,0.35760812305378337,-0.000422649085521698,ensemble_fcfw,nan,nan,nan,nan,0.47388040702415024,0.2460763278126019,nan
0,True,1.0,,,,,,,,-0.00015311709792658647,ensemble_step,,,,-0.00015311709792658647,,,
1,False,0.375,,,,,,,,0.009103639111049038,ensemble_step,,,,0.009103639111049038,,,
2,False,0.25,,,,,,,,0.017975586177310817,ensemble_step,,,,0.017975586177310817,,,
3,False,0.1875,,,,,,,,0.024542404993205355,ensemble_step,,,,0.024542404993205355,,,
4,False,0.15000000000000002,,,,,,,,0.02899424886451045,ensemble_step,,,,0.02899424886451045,,,
5,False,0.12499999999999997,,,,,,,,0.03245153503036209,ensemble_step,,,,0.03245153503036209,,,
6,False,0.10714285714285715,,,,,,,,0.035020919609614655,ensemble_step,,,,0.035020919609614655,,,
7,False,0.09374999999999999,,,,,,,,0.03689367851719545,ensemble_step,,,,0.03689367851719545,,,
8,False,0.08333333333333334,,,,,,,,0.03839166263174339,ensemble_step,,,,0.03839166263174339,,,
9,False,0.075,,,,,,,,0.039950165568764656,ensemble_step,,,,0.039950165568764656,,,
