step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,12.496702187064178,nan,nan,0.7138629058565621,0.6735026879171913,18.31362524055094,11.184275137727228,0.05898353457450867,baseline,nan,nan,nan,0.05548774985502791,0.8202241471156613,0.7710742815386602,nan
-4,nan,,1.1262447719247122,nan,nan,0.3609691008752181,0.22087691933801815,4.040215615208874,0.20119325862569062,0.0005250908434391022,ensemble_final,nan,nan,nan,nan,0.29309281286941247,0.17707020628848574,nan
-5,nan,,0.401753389452521,nan,nan,0.33359759245608656,0.18648042087060646,4.263373380765479,0.17623035326222608,-0.00028014183044433594,ensemble_fcfw,nan,nan,nan,nan,0.25677535169033605,0.1364256414505682,nan
0,True,1.0,,,,,,,,0.0606784443762643,ensemble_step,,,,0.0606784443762643,,,
1,True,0.5,,,,,,,,0.04461046772405103,ensemble_step,,,,0.04461046772405103,,,
2,True,0.3333333333333333,,,,,,,,0.03343787633103356,ensemble_step,,,,0.03343787633103356,,,
3,True,0.25,,,,,,,,0.013836244682014429,ensemble_step,,,,0.013836244682014429,,,
4,False,0.2,,,,,,,,0.017953933788359053,ensemble_step,,,,0.017953933788359053,,,
5,True,0.16666666666666663,,,,,,,,0.004562191101113472,ensemble_step,,,,0.004562191101113472,,,
6,True,0.14285714285714288,,,,,,,,0.0033811752034872966,ensemble_step,,,,0.0033811752034872966,,,
7,True,0.125,,,,,,,,0.00032832793358234316,ensemble_step,,,,0.00032832793358234316,,,
8,True,0.11111111111111108,,,,,,,,0.00021901381024581196,ensemble_step,,,,0.00021901381024581196,,,
9,False,0.10000000000000003,,,,,,,,0.0008577048917447726,ensemble_step,,,,0.0008577048917447726,,,
