step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,test_mmd,test_mmd_fcfw,training_loss,tvd,validity
-1,,1.0,,,,,,0.021332648860175246,baseline,,,,,,,,
-4,nan,,nan,nan,nan,nan,nan,0.0048914895365478606,ensemble_final,nan,nan,nan,0.004805232378570473,0.003633577006371319,nan,nan,nan
-5,nan,,nan,nan,nan,nan,nan,0.0037425214473852664,ensemble_fcfw,nan,nan,nan,nan,nan,nan,nan,nan
0,True,1.0,,,,,,0.021332648860175246,ensemble_step,,,,,,0.021332648860175246,,
1,True,0.375,,,,,,0.02064290296020832,ensemble_step,,,,,,0.02064290296020832,,
2,False,0.25,,,,,,0.02234207549816855,ensemble_step,,,,,,0.02234207549816855,,
3,True,0.1875,,,,,,0.008906758707498103,ensemble_step,,,,,,0.008906758707498103,,
4,True,0.15000000000000002,,,,,,0.008753436777676954,ensemble_step,,,,,,0.008753436777676954,,
5,True,0.12499999999999997,,,,,,0.008002512412636664,ensemble_step,,,,,,0.008002512412636664,,
6,True,0.10714285714285715,,,,,,0.006246843894505194,ensemble_step,,,,,,0.006246843894505194,,
7,True,0.09374999999999999,,,,,,0.006044406929333418,ensemble_step,,,,,,0.006044406929333418,,
8,True,0.08333333333333334,,,,,,0.005565548345330129,ensemble_step,,,,,,0.005565548345330129,,
9,True,0.075,,,,,,0.0048914895365478606,ensemble_step,,,,,,0.0048914895365478606,,
