step,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,training_loss,tvd,validity
-1,1.0,,,,,,0.03338339820848856,baseline,,,,,,
-4,,nan,nan,nan,nan,nan,0.004195150623227342,ensemble_final,nan,nan,nan,nan,nan,nan
-5,,nan,nan,nan,nan,nan,0.0023385470127252946,ensemble_fcfw,nan,nan,nan,nan,nan,nan
0,1.0,,,,,,0.03338339820848856,ensemble_step,,,,0.03338339820848856,,
1,0.5,,,,,,0.033715295491391795,ensemble_step,,,,0.033715295491391795,,
2,0.3333333333333333,,,,,,0.02594587184756395,ensemble_step,,,,0.02594587184756395,,
3,0.25,,,,,,0.014351913316144346,ensemble_step,,,,0.014351913316144346,,
4,0.2,,,,,,0.012047327739740099,ensemble_step,,,,0.012047327739740099,,
5,0.16666666666666663,,,,,,0.01122013421077668,ensemble_step,,,,0.01122013421077668,,
6,0.14285714285714288,,,,,,0.007499134932300577,ensemble_step,,,,0.007499134932300577,,
7,0.125,,,,,,0.004330853636143131,ensemble_step,,,,0.004330853636143131,,
8,0.11111111111111108,,,,,,0.004195150623227342,ensemble_step,,,,0.004195150623227342,,
